Identifier	Title	Additional Title	Publication Information	Physical Description	Notes	Contents	Subjects	GeographicSubjects	Genre	CreatorNames	ContributorNames
3861457	880-01Tsipore ḥol[videorecording] =Fire birds /Ṭopiyah tiḳshoret ṿe-Sirṭe Yunaiṭed Ḳing metsigim ; bamai, Amir Y. Ṿolf.	Fire birds	880-02[Ramat ha-Sharon] :Sirṭe Yunaiṭed Ḳing :Meṭro tiḳshoret,2015.;880-03Ram. ha-Sh. [Ramat ha-Sharon] :En Em Si Yunaited Enṭerṭainmenṭ	1 videodisc (105 min.) :sound, color ;4 3/4 in.	Includes special features.	A murder mystery from Israel set in Tel Aviv. An elderly man's body is found with three stab wounds to the chest and a number tattooed along his forearm, signifying that he is a Holocaust survivor. Amnon, a police detective, himself the child of Holocaust survivors, is reluctantly assigned to the case. As the plot weaves between the past and present, their stories unfold.	Murder--Investigation--Israel--Drama.;Feature films--Israel.		Detective and mystery films.--lcgft;Feature films.--lcgft;Fiction films.--lcgft;DVD-Video discs.	880-04Wolf, Amir I.,film director,screenwriter.;880-05Rubinshṭain-Ḳatsap, Orli,1960-screenwriter.;880-06Wolf, Yitsḥak,screenwriter.;880-07Zlayet, Amnon,director of photography.;880-08Cohen, Ady,1965-composer (expression);880-09Schayek, Isaac,editor of moving image work.;880-10Wolf, Amnon,actor.;880-11Teomi, Oded,actor.;880-12Almagor, Gila,actor.;880-13Zohar, Miriam,actor.;880-14Kedar, Dvora,actor.;880-15Levi, Mali,actor.	Topia Communications (Firm),presenter,production company.;United King Films (Firm),presenter,production company.;NMC United Entertainment (Firm),film distributor.
3861539	880-01Sabena[videorecording] /yotser ha-sereṭ, Nati Dinar ; Gilad Productions, DNA Productions.	880-02Sabenah;Title from IMDb website:Sabena hijacking, my version	880-03Ramat ha-Sharon :NMC United Entertainment Ltd.,2015.;©2015	1 videodisc (104 min.) :sound, color with black and white sequences ;4 3/4 in.		"""On the eighth of May 1972, four hijackers from the Palestinian organization ""Black September"" took control of Belgian Sabena Flight 571 from Brussels to Tel Aviv. The hijacking marked the beginning of thirty nerve-wracking hours, bounding together fascinating human, military and political drama inside and outside of the plane. ""Sabena Hijacking - My Version,"" presents a cinematic reenactment of the events weaved together with genuine archive material and exclusive interviews with three revered Israeli political leaders who were in charge of the rescue effort at the time, as well as the only surviving hijacker""--Go2Films.;Summary: ""On August 5, 1972 entered separately, two pairs of Brussels International Terminal. Two men and two women were carrying Israeli passports and attracted special attention. The four were members of a cell of the organization 'Black September'. When flight 571 of the Belgian airline company 'Sabena' from Brussels to Tel Aviv passed over Zagreb broke Ali Abu Sneina, the squad leader hijacker to the cockpit. He put a gun to the head of the captain and told him to continue flying the plane at Lod airport. For Abu Sneina hijacking was the third of his life.""--From http://www.nmcunited.co.il/Content/MovieDetails.php?MovieId=23644, viewed 05/26/2016."	Hijacking of aircraft--Israel.;Terrorism--Israel.;Rescues--Israel.		Feature films.--lcgft;Historical drama.--lcgft	Saʻar, Rani,film director.;Dinar, Nati,film producer.;Saʻar, Nati,film director.;Zonder, Moshe,screenwriter.;Solomon, Daniel,composer (expression);Glazer, Danor,director of photography.;Navot, Oren,editor of moving image work.;Iskandar, George,actor.;Lax, Bobby,actor.;Shafrir, Erez,actor.	Gilad Productions (Firm),production company.;DNA Productions,production company.;NMC United Entertainment (Firm),film distributor.
3886954	880-01Lelasedeh[videorecording] =Passover fever /Nuimage & Moviṭ, Mikhaʻel Sharfshṭtain, ʻAmitan Mandelzon, Dani Dimborṭ, Avinoʻam Lerner matsigim ; sirṭo shel Shimi Zarḥin.	English title:Passover fever;Leil sedeh;Leylasede;Lelaseder;880-02Lel ha-seder	880-03Netanyah :United King Films,[2008];©2008	1 videodisc (100 min.) :sound, color ;4 3/4 in.	"""MOVI'T presents ; a film by Shemi Zarhin ; produced by Michael Sharfstein and Amitan Mandelzon ; written & directed by Shemi Zarhin"" (from English subtitles).;Originally released as a motion picture in 1995."	A lively comedy about three generations of a modern Israeli family who convene to celebrate Passover.	Passover--Drama.;Passover--Customs and practices--Drama.;Families--Israel--Drama.		Feature films.--lcgft;Comedy films.--lcgft	880-04Mouskuna, Arie,actor.;880-05Waxman, Anat,actor.;880-06Zarhin, Shemi,film director,screenwriter.;880-07Almagor, Gila,actor.;880-08Shiloaḥ, Yosef,1941-2011,actor.;880-09Aboutboul, Alon,actor.;880-10Dimbort, Danny,film producer.	MOVI'T (Firm);880-11United King Films (Firm);Nu Image (Firm)
3861549	880-01Ḥayutah u-Verl[videorecording] =Epilogue /Norma Productions, Assaf Amir present ; a film by Amir Manor ; producer, Assaf Amir ; written and directed by Amir Manor ; associate producers, Adar Shafran & Roni Abramowsky.	Ḥayutah ṿe-Berl;Hayouta u'Berl;Epilogue;Original title from IMDb website:Hayuta and Berl	880-02Ram. ha-Sha :En Em Si Yunaited,[2012];©2012	1 videodisc (93 min.) :sound, color ;4 3/4 in.	"""This film was produced with the support of: Israel Film Fund, The Israel Film Council, Tel Aviv University, The Anna Havas Scholarship Fund, Gesher Multicultural Film Fund, Israel Fund for Film Production.""--End credits."	"""Hayuta and Berl, an elderly couple, find it hard to adjust to today's Israel and to the social changes surrounding them."" -- IMDB.com, accessed 2017-08-08"	Older people--Israel--Drama.		Feature films.--lcgft	Manor, ʻAmir,film director.;Amir, Assaf,film producer,presenter.;Shafran, Adar,film producer.;Abramowsky, Roni,film producer.;Gur, Rivka,1935-actor.;Carmon, Joseph,actor.;Avivi, Shai,1963-actor.;Ben Tsur, Efrat,actor.;Raz, Guy,director of photography.;Ozer, Iris,editor of moving image work.;Weiss, Ruth Dolores,composer (expression);Elbar, Oni,recordist.	Norma Productions (Israel),production company,presenter.;NMC United Entertainment (Firm)
3887030	880-01ha-Shekhunah shelanu =Our neighborhood /Uri Zohar et Avraham Deshe (Peshanel) matsigim ; tasrit: Ṭalilah Ben-Zakai-A. Deshe (Peshanel).	Fish, football & girls;Fish, football and girls;Our neighborhood	880-02Ramat ha-Sharon :En Em Si Yunaited,2008.	1 videodisc (98 min.) :sound, black & white ;4 3/4 in.	Originally produced as a motion picture in 1968.	"""The story of a soccer team, respectable families, a corrupt night club owner, and a young lad to guide all to a happy ending."" -- IMDB.com"	Soccer teams--Israel--Drama.;Feature films--Israel.;Comedy films--Israel.			Zohar, Uri,1935-director.;Deshe, Avraham,director,writer of screenplay.;Ben-Zaccai, Talila,writer of screenplay.;Ofir, Shaiḳeh,actor.;Levy, Shaike,actor.;Poliakov, Yiśraʼel,actor.;Banai, Gavri,actor.	Gashash ha-ḥiver (Comedy troupe),actor.;United King Films (Firm),distributor.;NMC United Entertainment (Firm),distributor.
3865741	880-01Tapuḥim min ha-midbar[videorecording] =Apples from the desert /sirṭam shel Ariḳ Lubetsḳi u-Mati Harari ; ʻal pi rav ha-mekher shel Savyon Librekhṭ ; Topia Communications ; producers, Michael Sharfshtein, Moshe Edery, Leon Edery ; screenplay, Savyon Liebrecht, Ariḳ Lubetzky, Matti Harari ; directors, Matti Harari, Ariḳ Lubetzky.	Apples from the desert;Also known as:Tapoukhim min ha'midbar	880-02Ram. ha-Sh. [Ramat ha-Sharon] :Hafatsah bilʻadit, En Em Si Yunaited (Distribution, NMC United Entertainment Ltd.),2014.;©2014	1 videodisc (96 min.) :sound, color ;4 3/4 in.	"880-03Based on the story by Savyon Liebrecht ""Tapuḥim min ha-midbar"".;Originally released in 2014.;Duration printed on container (90 min.) differ than actual running time."	Rebecca Abarnabel, a single daughter born into an Orthodox Jewish family, is tired of the lifestyle that her father, Reuven, has forced upon her. She and her mother, Victoria, go on a life-changing journey between worlds.	Feature films--Israel.;Orthodox Judaism--Relations--Nontraditional Jews--Drama.		Feature films.--lcgft;Fiction films.--lcgft	Harari, Mati,film director,screenwriter.;Lubetzki, Arik,film director,screenwriter.;Sharfstein, Michael,film producer.;880-05Ederi, Mosheh,1929-film producer.;880-06Edery, Leon,film producer.;880-07Liebrecht, Savyon,1948-screenwriter.;Rabinovitz, Micky,film producer.;Zlayet, Amnon,director of photography.;Glazer, Ariel,production designer.;Bar-Shai, Danni,costume designer.;Sharfstein, Tom,composer (expression);Zingman, Etty Li-on,editor of moving image work.;880-08Rozenblaṭ, Moran,actor.;880-09Amsalem, Raimond,1978-actor.;880-10Ḳaplan, ʻIrit,1973-actor.;880-11Ḳoriʼaṭ, Shelomi,actor.;880-12Banai, Elishaʻ,actor.;880-13Based on (work):Liebrecht, Savyon,1948-Tapuḥim min ha-midbar.	Globus-United (Firm);NMC United Entertainment (Firm),film distributor.
3887036	880-01ʻAd sof ha-lailah[videorecording] =When night falls /Tom hafaḳot matsigim, sirṭam shel Etan Grin ṿe-Mikhah Sharfshṭain.	When night falls	880-02[Ramat ha-Sharon] :NMC United Entertainment :United King films,[2014];©2014	1 DVD (90 min.) :sound, color ;4 3/4 in.	Videorecording of film originally produced in 1984.;Dolby digital 2.1; full screen 4:3.	"""Giora Geṭer is the owner of ""Pan"" in Tel Aviv.  His father, whose marriage with Giora's mother has fallen apart, comes to visit Tel Aviv.  The night life of Tel Aviv is a backdrop to this late meeting between the father and his son.  The meeting between them is difficult and they try to get to know each other better in an attempt to save the crumbling family and to build a relationship that in fact had never existed.""--Translated from back of container."	Fathers and sons--Israel.		Feature films.--lcgft;Fiction films.--lcgft	880-03Green, Eitan,film director,screenwriter.;Sharfstein, Michael,film producer.;880-04Salomon, Amnon,1940-2011,director of photography.;Lapid, Era,editor.;880-05Klepter, Yitzhak,composer (expression);880-06Dayan, Assaf,actor.;Millo, Yosef,actor.;Porat, Orna,1924-actor.;Pik-Pardo, Haya,actor.;Lavi, Amos,actor.;Roth, Dani,actor.;Adar, Rafi,actor.;Sheleg, Irit,actor.	880-07Tom Productions,production company.;880-08United King Films (Firm);880-09NMC United Entertainment (Firm)
3861474	880-01Medinah be-yom eḥad[videorecording] =A state behind the scenes /sirṭo shel Avi Ṿaisblai.	State behind the scenes	880-02[Tel Aviv?] :Amoraʼim films,[2010];880-03[Israel] :ha-Tav ha-shemini	1 videodisc (PAL, 50 min.) :DD video, sound, color ;4 3/4 in.	Motion picture.;Wide screen (16:9) presentation.	A journey to the backstage of the Declaration of the State of Israel: The last living witnesses to this historic event and the creators of the legend reveal what really happened during the 32 minutes of the ceremony and reflect on the place of the past in Israel today.		Israel--History--Declaration of Independence, 1948.;Palestine--History--1929-1948.;Israel--History--1948-1967.	Documentary films.--lcgft;Feature films.--lcgft;Nonfiction films.--lcgft	Weissblei, Avi,screenwriter,film director.	
3887198	880-01Leṿayah ba-tsohorayim[videorecording] =Funeral at noon  /Yuli Ogust hafaḳot matsigim ; sirṭo shel Adam Sanderson.	Funeral at noon	880-02Ramat ha-Sharon :En Em Si Yunaiṭed,2013.;©2013	1 videodisc (82 min.) :sound, color ;4 3/4 in.	"880-03""Mevusas ʻal sifro shel Yeshʻyahu Ḳoren."""	"""Hagar is somewhat of an alien. Childless and unemployed, Hagar cannot find her place in her small town community and in her own life as a newlywed. Only with Yiftach, her 10 year old neighbor, Hagar feels comfortable and unrestricted. The two stroll around the ruins of an abandoned village following a beautiful young soldier who train there. The boy is caught up in the magic of Hagar's game, and helps her to come closer to her passions, closer to herself and closer to a great tragedy. Written by Adam Sanderson""--IMDb, http://www.imdb.com/title/tt3114224/?ref_=ttfc_fc_tt, viewed 06/23/2016."			DVD-Video discs.;Domestic fiction.--lcgft;Feature films.--lcgft;Fiction film.--lcgft	880-04Koren, Yeshayahu.Leṿayah ba-tsohorayim.;Sanderson, Adam,film director,screenwriter.;Kredo, Yochanan,film producer.;Vidor, Hila,1975-actor.;Abarbuch, Matan,cast.;Gruber, Meirav,cast.;Yanai, Yuval,cast.;Gibran, Wisam,composer.;Jauvel, Adriano,actor.;Hekselman, Nadav,cinematographer.	880-05NMC United Entertainment (Firm)
3861475	880-01Shesh peʻamim[videorecording] /tasriṭ Ronah Segal ; hafaḳah Udi Yerushalmi ; bimui Yonatan Gurfinḳel.	880-026 peʻamim;Title in English:Six acts	880-03Ram. ha-Sha :En Em Si Yunaited,[2014];©2013	1 videodisc (93 min.) :col. ;4 3/4 in.	Videodisc release of the motion picture produced in 2012.	"""Six Acts is a realistic paraphrase of a classic teen-movie, a deep dive into the ""grey zone"" of sexual abuse, told through the story of average suburban adolescents. The story takes place right now, next door. Gili is a teenager who decides to change schools. She is determined to improve her fumbling social status. Over the course of a few weeks she hooks up with several different boys, all from her new school. Their encounters get more and more sexual, each time exploring their limits a little further. The boys are eager to take what is so generously offered, and Gili is thrilled with the attention. No tears, no complaints, no consequences. No adults. No one who says that maybe something is wrong...""--Israel Film Center website."	Feature films--Israel.;Teenagers--Israel--Drama.;Teenagers--Sexual behavior--Israel--Drama.			Levy, Sivan,actor.;Mor, Eviatar,actor.;Nik, Roy,actor.;Zilberberg, Niv,actor.;Segal, Ronah.;Gurfinḳel, Yonatan,1976-director.;Yerushalmi, Udi,producer.	NMC United Entertainment (Firm);United King Films (Firm)
3890242	880-01Boreg[videorecording] /sirṭah shel Shirah Gefen ; MoviePlus production ; director & screenwriter, Shira Geffen ; producers, David Mandil, Moshe Edery, Leon Edery ; associate producer, Keren Michael ; executive producer, Michal Graidy.	Also known as:Selfmade	Ramat ha-Sharon :NMC United Entertainment,2014.;©2014	1 videodisc (89 min.) :sound, color ;4 3/4 in.	A foreign film (Israel).;Originally released in 2014.	Self Made tells the story of two women - one Israeli, the other Palestinian- who are trapped within their respective worlds. After a mix-up at a checkpoint, they find themselves living the life of the other on the opposite side of the border.	Women--Israel--Drama.;Women--West Bank--Drama.;Arab-Israeli conflict--Drama.;Women, Palestinian Arab--Drama.		Feature film.--lcgft;Fiction film.--lcgft	880-02Gefen, Shirah,screenwriter,film director.;880-03Mandil, David,film producer.;880-04Ederi, Mosheh,1929-film producer.;880-05Edery, Leon,film producer.;880-06Graidy, Michal,film producer.;880-07Berkovich, Ziv,director of photography.;880-08Feller, Nili,editor of moving image work.;880-09Sawat, Arad,production designer.;880-10Claude, Alex,sound engineer.;880-11Poznansky, Amit,composer (expression);880-12Sheim, Laura,costume designer.;880-13Adler, Sarah,actor.;880-14Sarayah, Samirah,actor.;880-15Liddawi, Doraid,actor.;880-16Shoham, Na'ama,actor.;880-17Bakri, Ziyad,actor.	United King Films (Firm),production company.;Movie Plus (Firm),production company.;NMC United Entertainment (Firm),publisher.
3890248	880-01At li lailah[videorecording] /bimuy, Asaf Ḳurman ; tasriṭ, Liron Ben Shelush.	Also known as:At li Layla;English language version title:Next to her	880-02Ramat ha-Sharon :En Em Si Yunaiṭed,[2014];©2014	1 videodisc (86 min.) :sound, color ;4 3/4 in.	Duration printed on container (90 min.) differ than actual running time.;Extras include short films by Assaf Korman: Real estate, Death of Shula.	Chelli, 27, is raising her mentally challenged 24 year old sister, Gaby, alone. When the social worker finds out that Chelli leaves Gaby alone in the house while Chelli is at work, Chelli is compelled to place Gaby in a day program. For the first time in her life, Chelli shares Gaby's care with someone else; her daily routine collapses and the huge void left by Gaby's absence makes room for a man in Chelli's life in the shape of Zohar, who inadvertently creates a chink in the sisters' symbiotic relationship. While Chelli hangs on to Zohar's love for all she's worth, her inability to have a normal, intimate, and emotional relationship with anyone but her sister forces them into a twisted threesome, where boundaries between love, sacrifice, nurturing, and torturing are crossed.	Sisters--Israel--Drama.;People with mental disabilities--Drama.;Intellectual disability--Drama.		Feature films.--lcgft;Fiction films.--lcgft	880-03Korman, Assaf,film director,editor of moving image work.;880-04Ben Shlush, Liron,screenwriter,actor.;Mecklberg, Haim,film producer.;Mecklberg, Estee Yacov,film producer.;Edery, Moshe,1951-film producer.;Edery, Leon,film producer.;Mograbi, Yigal,film producer.;Yasur, Amit,director of photography.;Hochman, Shira,editor of moving image work.;Ivgy, Dana,1982-actor.;Zada, Yaakov Daniel ,actor.	United King Films (Firm),presenter,publisher.;NMC United Entertainment (Firm),publisher.
3890779	880-01Falafel aṭomi[videorecording] /sirṭo shel Deror Sha'ul.	Atomic falafel	[Ramat ha-Sharon] :En Em Si Yunaiṭed :United King Films,2015.	1 videodisc (100 min.) :color ;4 3/4 in.		"""Two girls from nuclear towns in Israel and Iran spill their countries' most valuable secrets on Facebook while trying to prevent a nuclear crisis.""--IMDb."	Nuclear warfare--Social aspects--Israel--Drama.;Nuclear warfare--Social aspects--Iran--Drama.;Electronic mail messages--Drama.		DVD-Video discs.;Feature films.--lcgft;Fiction films.--lcgft	Eagles, Tom(Film editor);Michaeli, Chilik.;Shaul, Dror,film director,screenwriter.;Edschmid, Sebastian,1965-cinematographer.;Treves, Michelle,1998-actor.;Fehling, Alexander,actor.;Levi Gershon, Mali,actor.;Avivi, Shai,1963-actor.;Marshek, Yossi,actor.;Strauss, Zohar,actor.	United King Films (Firm);NMC United Entertainment (Firm)
3890936	880-01Maḳom be-Gan ʻeden[videorecording] =A place in Heaven /sirṭo shel Yosi Madmoni.	Place in Heaven	Israel :MoviePlus productions :United King films,2013.;©2013	1 videodisc (112 min.) :sound, color ;4 3/4 in.	Originally released in 2013.	A young officer returns to his base after a daring mission. The cook's assistant, a religious Holocaust survivor, is envious of him. He believes that there is a place in heaven reserved for the brave officer who endangers his life for the sake of his Jewish brethren. The officer, in the spirit of the Zionist ethos, is secular and a non-believer. At the moment, he is so hungry that, for a plate of shakshuka, he is prepared to sign a contract transferring his secured place in heaven to the cook. Some forty years later, the present time of the movie, the tables have turned - the officer, now a retired general, is on his death bed in the hospital. His son who, to his father's horror, has found religion, is in a race against time. Before his father dies, he has to find that cook's assistant who, forty years earlier, bought his place in heaven. If and when he finds him, the son has to nullify the contract. If he doesn't, his father will go to hell.	Arab-Israeli conflict--Drama.;Soldiers--Israel--Drama.;Fathers and sons--Drama.;Judaism and secularism--Israel--Drama.;Heaven--Judaism--Drama.			Madmoni, Yossi,film director,screenwriter.;Aboutboul, Alon,actor.;Graziani, Tom,actor.;Agronov, Sasha,actor.;Berger, Keren,actor.;Aloni, Michael,1984-actor.;ʻAmrani, Gavi,actor.;Yudkevitch, Ronit,1965-actor.;Zissman-Cohen, Rotem,1982-actor.;Ostrisky, Sophia,actor.;Mandil, David,film producer.;Edery, Moshe,1951-film producer.;Edery, Leon,film producer.;Yaʻaḳov, Boʻaz Yehonatan,director of photography.;Leibovits', Ariḳ Lahav,editor of moving image work.;Leibovits', Ofir,composer (expression)	Movie Plus (Firm),production company.;United King Films (Firm),presenter.
3890964	"880-01Pensyon Prakhṭ[videorecording] =The Pracht Inn /United King Films ; Israel Film Fund, Transfax Film productions, MoviePlus productions ; director and screenwriter, Tamar Yarom ; based on the novel ""Night after night"" by Aharon Appelfeld ; producers, David Mandil, Marek Rozenbaum, Moshe Edery, Leon Edery ; executive producer, Michal Graidy."	Pracht Inn;Also known as:Pansion Pracht	880-02Netanya, Israel :United King Films ;Ram. ha-Sha :En Em Si Yunaited,[2014];©2014	1 videodisc (93 min.) :sound, color ;4 3/4 in.	Motion picture released in 2014.	"""An adaptation of Aaron Appelfeld's novel 'Night after Night'. In the sixties, a group of Holocaust survivors live together in a hostel in Jerusalem and struggle to revive the Yiddish Language.""--IMDb http://www.imdb.com/title/tt3824034/plotsummary?ref_=tt_stry_pl, viewed 6/28/2016."	Yiddish language--Jerusalem--Revival--Drama.;Language revival--Jerusalem--Drama.;Holocaust survivors--Jerusalem--Drama.		Feature films.--lcgft	880-03Yarom, Tamar,1971-film director,screenwriter.;880-04Adapted as motion picture (work):Apelfeld, Aharon.Lailah ṿe-ʻod lailah.Hebrew.;Mandil, David,film producer.;880-05Rozenbaum, Marek,film producer.;880-06Edery, Moshe,1951-film producer.;880-07Edery, Leon,film producer.;Graidy, Michal,film producer.;Yasur, Amit,1966-director of photography.;Halter-Shenkar, Tali,1959-editor of moving image work.;Keller, Tal,editor of moving image work.;Levy, Eytan,production designer.;Toren, Gil,sound designer.;Yarkoni, Roy,composer (expression);Alembik, Li,costume designer.;Ben-Nun, Eti,make-up artist.;Grad, Tsaḥi,actor.;Eshet, Michaela,actor.;Friedman, Vladimir,actor.;Toker, Yael,actor.;Maximilian Blumin, Marina,actor.	United King Films (Firm),presenter,publisher.;Israel Film Fund,sponsoring body.;Transfax Film Productions,production company.;Movie Plus (Firm),production company.;NMC United Entertainment (Firm),publisher.
3891420	880-01Tatchimawa Li[videorecording] :agin iyŏ chiokhaeng kŭphaeng yŏlch'a rŭl t'ara /chejak, (Chu) Oeyu Naegang ; chejak, Kang Hye-jŏng ; p'ŭrodyusŏ, Kim Chŏng-min ; kakpon, Yu Sŭng-wan, Kwŏn Hyŏk-chae ; kamdok, Yu Sŭng-wan.	Dachimawa Lee;880-02Agin iyŏ chiokhaeng kŭphaeng yŏlch'a rŭl t'ara	880-03[Seoul] :(Chu) K'eidi Midiŏ :konggŭp, Syo Paksŭ (Chu) Midiŏ P'ŭlleksŭ,2008.	1 videodisc (99 min.) :sound, color ;4 3/4 in.	"Dual layer; layer transition may trigger a slight pause.;Originally released as a motion picture in 2008.;880-04""Tŭnggŭp pullyu pŏnho: 2008-304""--Container."	Set during the Japanese occupation, the film follows super spy Dachimawa Lee in his latest adventure to recover a stolen national treasure, the Golden Buddha. The mission turns into a globe-trotting, multi-lingual topsy-turvy roller coaster of challenges and setbacks as the stakes stack higher and higher when a female agent and a top-secret list of Korean spies also go missing.	Spies--Korea--Drama.;Feature films--Korea (South)	Korea--History--Japanese occupation, 1910-1945--Drama.	Spy films.--lcgft;Fiction films.--lcgft;Feature films.--lcgft	880-08Kang, Hye-jŏng,producer.;880-09Kim, Chŏng-min,producer.;880-10Kwŏn, Hyŏk-chae,screen writer.;880-11Chʻoe, Sŭng-hyŏn,1987-music director.;880-12Im, Wŏn-hŭi,actor.;880-13Kong, Hyo-jin,1980-actor.;880-14Pak, Si-yŏn,1979-actor.;880-15Hwang, Po-ra,1983-actor.;880-16Yu, Sŭng-wan,1973-drtaus;880-17Yu, Sŭng-bŏm,1980-actor.	880-18Oeyu Naegang (Firm),production company.;880-19K'eidi Midiŏ,production company.
3891476	880-01Wanby̆ok han p'at'ŭnŏ[videorecording] =Perfect partner /chegong, T'aim Sŭt'ori ; chejak, (Chu) Yŏnghwasa Ch'am ; kakpon, kamdok, Pak Hŏn-su.	Perfect partner	880-02[Sŏul] :(Chu) K'aendŭl Midiŏ,2012.	1 videodisc (126 minutes) :sound, color ;4 3/4 in.	Supplement (15 minutes);DVD released as a motion picture in 2011.	"""A screenplay writer Jun-seok and a famed chef Hee-sook, both start having sex with their own students, respectively with Yeon-hui and Min-soo. Each of their wild and secret relationships surprisingly gives them inspiration. These two couples try to be physically affectionate even in public areas to draw more inspiration. While all Jun-seok needs from the relationship is to finish his screenplay to make his splendid comeback, all his student-turned-secret lover Yeon-hui desperately wants is win a prize at the screenplay competition. Also, while Hee-sook tries to get in her second prime, her young lover Min-soo works to develop his great recipes. Will their controversial relationships indeed fulfill their needs?""--KOFIC."	Man-woman relationships--Korea (South)--Drama.;Screenwriters--Korea (South)--Drama.;Women cooks--Korea (South)--Drama.		Feature films.--lcgft	880-05Pak, Hŏn-su,film director,screenwriter.;880-06Kim, Yŏng-ho,1967-actor.;880-07Kim, Hye-sŏn,1969-actor.;880-08Kim, San-ho,1981-actor.;880-09Yun, Ch'ae-i,1984-actor.	880-10T'aim Sŭt'ori,sponsoring body.;880-11(Chu) Yŏnghwasa Ch'am,production company.;880-12K'aendŭl Midiŏ (Firm),distribution company.
3892364	The legend of Gingko[videorecording].	880-01Title on container :Dābrak sathān 1000 phob :the legend of Gingko	880-02Krungthēp... :Mangkhon Wīdīo ǣn Sīdī Čhamkad,[20--?]	1 videodisc (ca. 118 min.) :sound, color ;4 3/4 in.	Originally produced as a motion picture in 2000.	For many generations, the evil Mae tribe has been at war with the Hwasan, another tribe living near Mt. Holy, under the protection of the good spirits. The Hwasan have overcome the Mae tribe, which now live in exile in an infertile and deadly region. To end this exile the Mae makes a holy sword, made from the blood and bones of a thousand sacrifices, which will destroy Mt. Holy. But to complete this destructive weapon the Mae need a last sacrifice- the child of a couple formed of a royal family of both clans. -- edited from web.	Action and adventure films.;Romance films.				880-03Dābrak sathān 1000 phob,production company.
3869705	Kings, queens & in-betweens[videorecording] /directed by Gabrielle C. Burton ; produced by Five Sisters Productions, Charity Burton, Gabrielle C. Burton, Jennifer Burton, Maria Burton, Ursula Burton.	Kings, queens and in-betweens	[New York, New York] :Candy Factory Films,2017.;[Warren, New Jersey?] :[Distributed by Passion River?],2017.	1 videodisc (91 min.) :sound, color ;4 3/4 in.	Documentary.;Program content: ©2016.	Through the compelling stories of eight performers in the thriving drag scene in the unlikely location of Columbus, Ohio, the film dives into the often misunderstood topic of 'gender' itself. Giving rare insight into an underground scene, KQIB captures how an unlikely midwestern city full of vibrant performers tackles complexities of gender expression, personal identity, and human rights, all with humor, great music, big hair, and duct tape.	Cross-dressing.;Female impersonators--United States--Biography.;Male impersonators--United States--Biography.;Gender identity.;Sexual minorities.;Gender expression--Ohio--Columbus.;Male impersonators--Ohio--Columbus.;Female impersonators--Ohio--Columbus.;Transgender people--Ohio--Columbus.		Documentary films.--lcgft;Biographical films.--lcgft;Nonfiction films.--lcgft;Video recordings for the hearing impaired.--lcgft;Feature films.--lcgft	"Burton, Gabrielle C.,film director,film producer,editor of moving image work.;Burton, Charity,film producer.;Burton, Jennifer(Jennifer S.),1964-film producer.;Burton, Maria,film producer.;Burton, Ursula(Ursula C.),1966-film producer.;Applegate, Julia ""Jake"" M.,on-screen participant.;Gjestvang, Liv,on-screen participant.;Balk, Liz,on-screen participant.;Harrison, Becky,on-screen participant.;Kwan, Anita,editor of moving image work.;Yearling, Mike,editor of moving image work."	Five Sisters Productions,production company.;Candy Factory Films,publisher.;Passion River Films,film distributor.
3871600	Restless creature[videorecording] :Wendy Whelan /Abramorama presents a Got the Shot Films production ; directed by Linda Saffire and Adam Schlesinger.	Wendy Whelan	New York, NY :Kino Lorber Edu,[2017];©2017	1 videodisc (94 min.) :sound, color ;4 3/4 in.	Originally produced as a motion picture in 2016.	"""...Offers an intimate portrait of prima ballerina Wendy Whelan as she prepares to leave New York City Ballet after a record-breaking three decades with the company...We watch Whelan brave the surgery that she hopes will enable her comeback to NYCB and we watch her begin to the explore the world of contemporary dance, as she steps outside the traditionally patriarchal world of ballet to create Restless Creature, a collection of four contemporary vignettes forged in collaboration with four young choreographers."" -- Container."	Ballet dancers--United States.		Documentary films.--lcgft	Saffire, Linda,film director,film producer.;Schlesinger, Adam,film director,film producer.;DiMenna, Diana,film producer.;Eisenhardt, Bob,editor of moving image work.;Lenzer, Don,director of photography.;Sheppard, Philip,composer.	Abramorama (Firm),presenter.;Got the Shot Films (Firm),production company.;Kino Lorber Edu (Firm),publisher.
